date, - values
2020-05-15,0.24758659303188324
2020-06-15,0.3482278883457184
2020-07-15,0.2455112487077713
2020-08-15,0.2551603615283966
2020-09-15,0.2939750552177429
2020-10-15,0.1951012909412384
2020-11-15,0.1395713984966278
2020-12-15,0.07575128972530365
2021-01-15,0.15552137792110443
2021-02-15,0.052366625517606735
2021-03-15,0.10648595541715622
2021-04-15,0.1266721785068512
2021-05-15,0.2134707272052765
2021-06-15,0.14253970980644226
2021-07-15,0.17043548822402954
2021-08-15,0.1618962585926056
2021-09-15,0.1729418784379959
2021-10-15,0.15909834206104279
2021-11-15,0.1907840520143509
2021-12-15,0.1406993716955185
2022-01-15,0.17458024621009827
2022-02-15,0.11199691891670227
2022-03-15,0.13213174045085907
2022-04-15,0.11356046050786972
2022-05-15,0.0935380756855011
2022-06-15,0.12703937292099
2022-07-15,0.1381896436214447
2022-08-15,0.18835842609405518
2022-09-15,0.18295595049858093
2022-10-15,0.15516075491905212
2022-11-15,0.17963412404060364
2022-12-15,0.19339409470558167
2023-01-15,0.1621241718530655
2023-02-15,0.16215893626213074
2023-03-15,0.2767159044742584
2023-04-15,0.34562888741493225
2023-05-15,0.32471764087677
2023-06-15,0.4113784432411194
2023-07-15,0.4877418875694275
2023-08-15,0.5344415307044983
2023-09-15,0.5216982960700989
2023-10-15,0.5176481008529663
2023-11-15,0.5198510885238647
2023-12-15,0.5350010991096497
2024-01-15,0.5657729506492615
2024-02-15,0.49876633286476135
2024-03-15,0.4838862121105194
2024-04-15,0.49186432361602783
2024-05-15,0.4603896141052246
2024-06-15,0.44306525588035583
2024-07-15,0.4678460955619812
2024-08-15,0.4718017876148224
2024-09-15,0.4561750888824463
2024-10-15,0.44937002658843994
2024-11-15,0.4229736328125
2024-12-15,0.36500415205955505
